Tom is ill.	汤姆生病了。
My grandfather lived a long life.	我的祖父很長壽。
I don't blame you for hitting him.	我不怪你撞到他。
Where do the airport buses leave from?	机场大巴从哪里出发？
I love her and she loves me.	我愛她，她也愛我。
That makes no sense at all.	这没有任何意义。
She visits the dentist on a regular basis, so she seldom gets toothaches.	她定期去看牙医，所以她很少牙痛。
I didn't know who Tom was at first.	我一开始不知道汤姆是谁。
Nice timing.	好时机。
She has kept a diary for 3 years.	她已經寫了三年的日記。
He was killed in a car accident.	他死於一場車禍。
What is the title of your new book?	你新書的書名是什麼？
I'm responsible for the mistake.	我为这个错误负责。
He was standing behind the door.	他站在門後。
The food is ready.	饭做好了。
What's wrong with my legs?	我的腿有什么毛病？
I need to go to the toilet.	我要去上廁所。
I have more experience than Tom.	我比汤姆更有经验。
Yesterday was my birthday.	昨天是我的生日。
The cat is not dead.	那猫没死。
They always wake up early, even on Sundays.	他們總是早起，即使是在周日。
Rome has a lot of ancient buildings.	罗马有很多古建筑。
Tom picked up the knife.	汤姆拿起了刀。
I thought that Tom would sleep until noon.	我认为汤姆会睡到中午。
Tom has been struck by lightning three times.	湯姆被閃電擊中過三次。
Tom loves to sing.	湯姆愛唱歌。
Help yourself to anything you like.	喜歡什麼就隨便吃吧。
I don't know if I can go to the party.	我不知道我是否可以去派对。
Don't go out after it gets dark.	天黑以後不要出門。
Have you finished writing the letter yet?	你信寫完了嗎？
He went to New York on Monday.	他星期一去了紐約。
Take off your socks.	把你的袜子脱了。
She was washing the dishes.	那時她正在洗碗。
Being rich isn't enough.	有钱还不够。
I really like to dance.	我非常喜欢跳舞。
Wait until the light changes to green.	等到燈變為綠色。
Here's the map you are looking for.	你正在找的地圖在這裡。
I'm very sorry I came home so late.	我很抱歉那么晚回家。
This bus will take you to the museum.	這輛公車會載你去博物館。
Tom is coming to our school tomorrow.	湯姆明天會來我們的學校。
They told me that I would feel a little better if I took this medicine.	他們告訴我吃完這個藥我就會覺得舒服一點。
I've got wine.	我有酒。
What do you need the money for?	你要这钱干嘛？
My daughter wants a kitten.	我女儿想要一只小猫。
I stopped smoking for the sake of my health.	為了健康，我不再抽菸。
Tom enjoys gardening.	汤姆享受园艺。
What'll you give Tom?	你要给汤姆什么？
It's rude to talk during a concert.	在音樂會中講話是不禮貌的。
Tom got a late start this morning.	汤姆今早出发晚了。
Tom says he left a note.	汤姆说他留了张便条。
He spent the night at his uncle's place.	他在他舅舅那裏過夜。
You have done very well.	你做得很好。
I'll get you whatever you want.	我會給你任何你想要的東西。
I'd like to buy half a cake.	我想买半个蛋糕。
I'm not so brave.	我没那么勇敢。
Did you see the rainbow this morning?	你见到今天早上的彩虹了吗？
I nearly fell off the cliff.	我差点从悬崖上掉下去。
His way of thinking is very childish.	他的思維方式很幼稚。
What do you make?	你做什麼？
Tom had never seen Mary so busy.	汤姆从没见过玛丽这么忙。
You don't deserve it.	你不配。
Both of you are wrong.	你們倆都錯了。
You can sit wherever you want to.	你可以坐你想坐的任何地方。
She wants a new dress badly.	她很想要一条新的连衣裙。
My brother is now in Australia.	我哥哥現在在澳洲。
Tom often fails to keep his word.	汤姆经常不守约。
Tom told me he was nervous.	湯姆告訴我他緊張。
A mouse is a timid creature.	老鼠是胆小的生物。
I love going to the movies.	我喜歡看電影。
You'd better consult your doctor.	你最好請教你的醫生。
Everyone who knew him admired him.	每一個認識他的人都愛慕他。
She came to Tokyo at the age of 18.	她18岁的时候来到东京。
I had a wonderful time.	我度過了美好的時光。
I think you should take the test again.	我的意见是，你该再次参加测试。
He paused to have a cigarette.	他停下来抽根烟。
You have beautiful eyes.	你的眼睛真漂亮。
He was seen to go upstairs.	有人看見他上樓。
I am divorced.	我离婚了。
The teacher made us repeat the word.	老師要我們重複這個字。
Tom was a bit puzzled by Mary's answer.	汤姆被玛丽的回答困惑了一下。
Mary looks like her mother.	瑪麗長得像她媽媽。
His grandmother looks healthy.	他祖母看起來很健康。
Have you ever been to France?	你曾經去過法國嗎？
Please shut the door.	請關門。
I don't like hitchhiking.	我不喜欢搭便车。
There is a bag on the desk.	书桌上有一个包。
I'm glad I was there.	我很高興我在那裡。
Tom is the only guy in this class.	汤姆是这个班级里唯一的男生。
I didn't expect to see you at a place like this.	我都没想过会在这里碰见你。
She looked after the children.	她照顧孩子們。
I will provide you all the necessary information.	我会把所有有用的信息提供给您的。
How old are your kids?	你的孩子多大了？
Look, it's my problem.	听我说，这是我的问题。
The man kept talking for an hour.	這個男人連續說了一個小時的話。
What do you call this bird?	這隻鳥叫作什麼?
I don't care all that much.	我不那么在意。
He is used to getting up early.	他習慣早起。
Please speak as slowly as possible.	请尽量慢点说。
She was very happy with my gift.	她對於我送的禮物感到很開心。
I think I can.	我想我可以。
She put on socks.	她穿上袜子。
Like it or not, we have to attend that meeting.	不管喜不喜歡，我們都得參加那個會議。
Why do you think Tom doesn't like it?	你為甚麼認為湯姆不喜歡它？
Yes, it's such a nice evening.	是的，今天晚上很愉快。
What would you like for supper?	你晚餐想吃什麼?
This time, it's different.	这一次不一样。
He doesn't know much about Japan.	他不是很了解日本。
It's very hot today, isn't it?	今天非常熱，不是嗎?
Mark the words that you cannot understand.	你不懂的词做个记号。
Don't listen to her.	別聽她的。
She gave me whatever help I needed.	她給了我任何我需要的幫助。
I've never seen a live whale.	我從來沒有見過一條活生生的鯨魚。
I wonder what ear lobes are for.	我好奇耳垂有什么作用。
He has gone abroad by himself.	他一个人去了国外。
Because of heavy snow, the plane from Beijing arrived 20 minutes late.	由於下大雪，從北京来的班機延遲二十分鐘。
People need to stop hating.	人们需要止住仇恨。
The dog attacked the little boy.	這隻狗攻擊了這個小男孩。
The conference is to be held in Tokyo the day after tomorrow.	会议将在后天于东京举行。
You're on the right track.	你的想法是對的。
I'll try my best today, too.	今天我也会努力的。
He's in the kitchen.	他在厨房。
How old do you think she is?	你认为她多大？
He's a little taller than you are.	他比你高一點點。
He's already too far away to hear us.	他已經離得太遠聽不到我們了。
He took a trip to Europe.	他去歐洲旅行了。
I asked her to wait a moment.	我請她等一會兒。
You should come back immediately.	你应该马上回来。
The contract was signed.	契約簽訂了。
It's my brother's.	它是我兄弟的。
Do you know who he is?	你知道他是誰嗎？
I know that you hired Tom.	我知道你僱了湯姆。
He hung a lamp from the ceiling.	他把一盏灯挂在了天花板上。
I should really get some sleep.	我真該睡一覺了。
She bought two pairs of socks.	她買了兩雙襪子。
One thousand dollars will cover all the expenses for the party.	1000美元将负担聚会的全部费用。
Animals cannot exist without air and water.	動物離不開空氣和水。
Have you seen this man?	您见过这个人吗？
Is it next Monday that Tom returns?	汤姆是在下个星期一回来吗？
Can I see that?	我能看看那个吗？
I came to Tokyo three years ago and have been living here ever since.	三年前我来到东京并一直住在这儿。
He helped me to get over the difficulties.	他帮助我克服了困难。
The lights in the bathroom aren't working.	洗手间的灯坏掉了。
She looks very elegant.	她看上去十分优雅。
Her birthday party will be tomorrow evening.	她的生日宴會將在明天晚上。
Who can say what will happen in the future?	谁能说将来会发生什么呢。
Tom clapped his hands.	湯姆拍了手。
Tom wants to talk.	汤姆想说话。
Father takes the 7:00 subway to work.	爸爸乘早上7点的地铁去上班。
I don't want Tom to see this.	我不想讓湯姆看見這個。
Our team lost all of its games.	我們的隊伍輸了所有的比賽。
You should wear a coat.	你應該穿一件大衣。
You're the only one I can trust.	你是我唯一能信任的人。
I have two sons.	我有兩個兒子。
You owe me money.	你欠我钱。
Can I borrow your scissors?	我能借用你的剪刀吗？
Will you take a personal check?	你收私人支票嗎?
My parents taught me to respect my elders.	我的父母教育我应该尊敬老人。
The dog followed me to my home.	这只狗跟着我到了我家。
They can't hear me either.	他們也不能聽見我說話。
I've finally got the whole set!	我終於擁有了一整套!
What are you reading now?	你現在在讀甚麼？
I don't think you need to change.	我不認為你該改變。
The island is a paradise for children.	这个岛是孩子们的天堂。
Who wrote these two letters?	誰寫了這兩封信？
I trust him.	我信任他。
He's very straightforward.	他说话很直接。
The paint was coming off the wall.	油漆從牆上脫落。
As far as I'm concerned, she's a complete stranger.	她对我来说是一个完全陌生的人。
Where were you?	之前你在哪里？
Let's take a trip to New York.	去纽约旅行吧！
He rescued a boy from drowning.	他救了一个溺水的男孩。
Does love exist?	愛存在嗎？
Do you know where they come from?	你知道他们来自哪里吗？
The bath is ready.	浴缸已經準備好了。
I'm fine. How about you?	我很好。你呢？
The dog growled at the strange man.	狗對著這個陌生男子咆哮。
I have something to give you.	我有些东西要给你。
The children returned home at dusk.	夜幕降临时，孩子们回家了。
There isn't a drop of water left.	沒有剩下一滴水。
We got all the materials together.	我們把所有的材料放在一起。
Why is the sky blue?	为什么天是蓝的？
I'm glad to hear that.	我很高興聽到這個消息。
I majored in chemistry at the university.	我在大學主修化學。
He went to America to study medicine.	他去美国学医了。
It's late.	很晚了。
China is an emerging market.	中国是一个新兴市场。
Stop talking and listen to me.	別說話，聽我說。
How much does this cost?	多少錢？
Call me at the office.	打電話到我辦公室來。
I will find you a good doctor.	我會幫你找個好醫生。
Tom knew what Mary had done.	湯姆知道瑪麗做了甚麼。
I'm looking for a place to sit.	我正在找个地方坐下。
She promised not to go out alone.	她答應不單獨外出。
We will go on a picnic tomorrow.	我們明天要去野餐。
Tom doesn't know whether Mary is happy or not.	汤姆不知道玛丽是高兴呢，还是不高兴。
I agree with him on that point.	我在那一個觀點上同意他。
We went for a walk in the forest.	我们去了林中散步。
Tomorrow is Mother's Day.	明天是母親節。
I can't sleep at all!	完全睡不着。
My stomach's full.	我吃得很飽。
Tom slept until noon.	汤姆睡到中午。
I always dreamed of being a billionaire.	我總是梦想著成為億萬富翁。
I asked the boy to throw the ball back.	我請這個男孩把球扔回來。
A little walk will give you a good appetite for breakfast.	散散步將會給你很好的食慾吃早餐。
Tom didn't tell me much about it.	汤姆没跟我说太多关于它的事。
He told us to keep quiet.	他告訴我們要保持安靜。
Just put yourself in my shoes.	你站在我的立場上考慮看看。
Do you have a larger size?	你有比較大的尺寸嗎？
Is that a picture of me?	那是我的照片嗎？
Keep the money in a safe place.	把錢保存在安全的地方。
My younger brother really likes to take photos of mountains.	我弟弟很喜欢拍山的照片。
I was fired without cause.	我被无故辞退了。
I knew this day was coming.	我知道這天要來。
His explanation really isn't clear.	他的說明並不清楚。
There are some cookies in the jar.	罐子裡有一些餅乾。
Tom doesn't trust the police.	湯姆並不信任警察。
Tom can't afford this.	汤姆买不起这个东西。
I have an egg.	我有一只蛋。
This is a good book for children to read.	这是本对儿童有益的书。
I don't think that this is a good idea.	我觉得这主意不行。
I don't want to hear any more of your complaining.	我不想再听你抱怨了。
I've already told you the truth.	我已經告訴你真相了。
How should I know?	我怎麼知道？
It is high time you were in bed.	你早该睡了。
These are our desks.	这些是我们的书桌。
Scary, isn't it?	是不是嚇人？
Who organized that meeting?	谁组织了这次会议？
She is very clever.	她很聰明。
This city is 1,600 meters above sea level.	这座城市海拔1600米。
What are you doing there?	你在那里做什么呢？
He works from nine to five-thirty.	他從早上九點工作到下午五點半。
I can stay up as late as I want.	我熬夜熬多久都行。
It looks like an apple.	看起来像个苹果。
I wish I were a good singer.	但願我是一個好歌手。
I came to this country for the purpose of studying music.	我來這個國家的目的是學習音樂。
I can work with anyone.	我能跟任何人工作。
Be it ever so humble, there's no place like home.	金窝银窝不如自己的狗窝。
I have a friend whose father is a famous novelist.	我有一位父亲是著名小说家的朋友。
I have brothers.	我有兄弟。
The train for Birmingham leaves from platform 3.	去伯明翰的火车从3号站台出发。
Big fish eat little fish.	大鱼吃小鱼。
I don't like to socialize.	我不喜欢跟人打交道。
I remember having seen her somewhere.	我记得好像在哪里见过她。
I don't go to school.	我不去学校。
I'm thirsty.	我渴了。
He's opposed to racial discrimination.	他反對種族歧視。
She put the key in her pocket.	她把鑰匙放在她的口袋裡。
Lake Biwa is the largest lake in Japan.	琵琶湖是日本最大的湖。
Which book is yours?	哪本是你們的書？
What do you want it for?	你要它干什么？
It rained on and off all day.	雨斷斷續續地下了一整天。
She was able to answer whatever was asked.	不管问了什么，她都能回答。
My uncle has a flower shop near the station.	我叔叔在車站附近有一家花店。
May I open the windows?	可以开窗吗？
Tom looks pale.	湯姆看起來很蒼白。
We are staying at our uncle's.	我们待在舅舅家。
I have a high temperature.	我發燒了。
Your tripod is in my office.	你的三腳架在我的辦公室裏。
We took turns with the driving.	我們輪流駕駛。
She boiled the eggs.	她煮了蛋。
I was already busy planning my vacation.	我已经在忙于计划假期了。
I'm on my way.	我这就上路。
Tom has Mary's address.	汤姆有玛丽的地址。
She took full advantage of her stay in London to improve her English.	她充分利用她住在伦敦的优势，提高英语。
This is a defibrillator.	这是一个除颤器。
If Tom can't tell me, then no one can.	如果湯姆不能告訴我，就沒人能了。
Her look says that she loves you.	她的樣子在說她愛你。
Will you permit me to go there?	您允许我去吗？
He threw a stone into the pond.	他扔了一塊石頭到池塘裡。
When are you leaving?	你什麼時候離開？
Drink this juice.	喝這果汁。
I hope you'll get well soon.	我希望您快就会好起来。
Training will be provided.	会有训练。
He drinks too much beer.	他喝太多啤酒。
I think I'm going crazy.	我认为我快疯了。
We expect to win.	我们看來會赢。
My home is far away.	我家很远。
My mother told us an interesting story.	我的媽媽給我們講了個有趣的故事。
We met her by accident.	我们偶然碰到了她。
Do you guys know each other?	你們認識嗎？
She is now staying at her uncle's house.	她现在正待在她叔叔家。
China is twenty times as large as Japan.	中国是日本的20倍大。
Please don't speak so fast.	请不要说得那么快。
JST stands for Japan Standard Time.	JST代表日本標準時間。
Have we made progress?	我們取得進步了嗎？
It's on the sofa.	它在沙發上。
He ran.	他跑了。
I'm sure you would do the same for me.	我很确定你也会为我做同样的事。
He called in to say he could not attend the meeting.	他打電話來說他不能參加會議。
You should have done so.	你本應該這樣做的。
What were you and Tom doing yesterday?	你和汤姆昨天做了什么？
Were you busy?	您当时在忙吗？
She must be angry with me.	她一定在生我的氣。
A true gentleman never betrays his friends.	一个真正的绅士不会出卖他的朋友。
I'm not guilty.	我没有罪。
The bottle is filled with water.	這個瓶子裝滿了水。
You have to start somewhere.	你必须有一个出发点。
You're very shy.	你很害羞。
I'm breast-feeding my baby.	我餵我的孩子母乳。
Tom put the vase on the table.	湯姆把花瓶放在桌上。
I'm not a good swimmer.	我不擅长游泳。
The bottle fell and broke.	瓶子掉下来摔碎了。
This is a crucial point.	这是一个关键点。
I'm sleepy.	我困了。
I used a knife to cut the cake.	我是用刀切蛋糕的。
Where is your house?	您的家在哪？
Her daughter has become a beautiful woman.	她的女兒已經變成一個漂亮的女人。
I am interested in Japanese history.	我對日本歷史有興趣。
Tom is married.	汤姆已经结婚了。
I got my notebook stolen.	有人把我的筆記本電腦偷掉了。
She is already sleeping.	她已经睡下了。
I must hand in the report today.	我今天必須交報告。
Did you know that some foxes lived on this mountain?	你知道有些狐狸住在這座山上嗎?
Keep the change!	不用找零钱了。
We know our rights.	我们知道我们的权利。
You may not come in.	你不能進來。
It is true that she is pretty, but she is selfish.	她确实很漂亮，但她很自私。
Tom is sick.	汤姆生病了。
What just happened?	刚刚发生了什么？
I'm not going to say it again.	我不会再说了。
Would you like some more beef?	你想再來些牛肉嗎？
She asked him questions.	她問了他問題。
His mother came to pick him up.	他的母親來接他了。
Daddy loves to say funny things.	爹地喜歡講有趣的事。
I signed the lease today.	我今天签了租约。
Why exactly did you need to do that?	你到底为什么要这么做？
Can you come?	你能來嗎？
I'm not sure of the exact date.	我不知道確切的日期。
Tom wants a computer small enough to easily carry.	汤姆想要个小得易于携带的电脑。
Good morning.	早上好！
We've got a situation.	我们有情况了。
I'm a university student.	我是个大学生。
I'll remember you forever.	我會永遠記住你的。
I don't know about the past, but now we have faxes and emails.	我不知道以前怎样，但现在我们有传真和电子邮件。
It's almost midnight here.	這裡已經是午夜了。
He wrote to me yesterday.	昨天他寫信給我。
What's love?	愛是什麼？
I would rather live by myself than do as he tells me to do.	我寧願自己獨立生活也不要他來指使我。
Prices have reached a 13-year high.	价格已经达到了十三年以来的最高点。
Do you think that was fair?	你认为那公平吗？
He often sits for many hours reading books.	他常常坐着看书一连好几个小时。
All you have to do is to take care of yourself.	你要做的只是照顾好你自己。
Tom vanished.	汤姆不见了。
I guess most of them went home.	我猜他們大多數回家了。
I haven't seen her since last month.	我從上個月開始就沒有看到她了。
Sorry, I don't have any money.	抱歉，我没钱。
How long does it take to get to the station?	去火车站要多久？
I couldn't agree with you more.	我非常同意你。
Can you get it repaired?	你能不能修理它？
She was appointed chairperson.	她被任命為主席。
The light changed from red to green.	燈由紅變綠。
The assignment took me longer than I had expected.	我用了比我预期更长的时间来完成作业。
He made his son a chair.	他做了一把椅子給他兒子。
He crossed the Pacific Ocean in thirty days.	他用30天横渡了太平洋。
You're a celebrity now.	你现在是名人了。
The opening ceremony took place yesterday.	昨天舉辦了開幕式。
Tom has a beautiful car.	Tom有台靓车。
Even a child can understand that.	即使是一個小孩子都能理解。
I want Tom to win.	我想让汤姆赢。
I went swimming in the river.	我去河裡游泳。
Tom seems very happy.	汤姆看起来非常开心。
I came to Japan two years ago.	我兩年前來日本。
I will wait here until he comes back.	我会在这里等着到他回来的。
I think Tom lied to us.	我觉得汤姆对我们撒谎了。
Do you have a fever and a sore throat?	你發燒和喉嚨痛嗎?
Isn't that skirt too short?	那条裙子是不是太短了？
I wrote this book.	我写了这本书。
It's obvious why his stomach hurts.	他為什麼會胃痛的原因很明顯。
I wanted red shoes.	我要紅色的鞋子。
Were you right?	你是对的吗？
Paris is one of the largest cities in the world.	巴黎是世界上最大的城市之一。
I fell asleep while reading a book.	我看书的时候睡着了。
Tom couldn't read very well until he was thirteen.	湯姆十三歲以前讀得不好。
Is someone there?	那边有人吗？
I have nothing to do with the affair.	我跟這件事無關。
This book is small.	这本书小。
Please drive carefully.	請小心駕駛。
The economy is picking up.	经济在复苏之中。
Why should I apologize to you?	为什么我要向你道歉？
Tom didn't buy any bread.	湯姆沒有買甚麼麵包。
Why worry about it?	為什麼要擔心？
This book is easy to read.	这本书很易读。
It would be wonderful if you could sing at our wedding.	你能在我们的婚礼上唱歌就太好了。
I made efforts to improve my grades.	我努力的改善我的成績。
Some people criticized our decision.	一些人批评了我们的决定。
The doctor advised him to do more exercise.	醫生建議他多做運動。
He plays the guitar well.	他吉他彈得很好。
You seem to be waiting for somebody.	你看來在等人。
You've got something in your teeth.	牙齿卡了点东西。
He works from Monday to Friday.	他周一到周五上班。。
We're still a little confused.	我們還是有點疑惑。
It's not practical.	这不实用。
Tom doesn't like being treated like a child.	汤姆不喜欢被当作小孩。
We have to turn in our reports by the end of this month.	这个月底前，我们必须交报告。
The war began three years later.	三年後戰爭開始了。
I chose this topic because I think it's interesting.	我選這個主題是因為我覺得它很有意思。
What time does the movie start?	電影什麼時候開始？
We know that all men are mortal.	我們知道人皆難免一死。
Are they students?	他們是學生嗎？
When will they arrive?	他們何時抵達?
This is a new experience for Tom.	这对于汤姆是新体验。
Tom isn't the best player on our team.	汤姆不是我们队里最棒的球员。
I can't go, nor do I want to.	我去不了，也不想去。
He asked me if I was busy.	他问我是否很忙？
It was a nice story.	这是个挺好的故事。
Whose pencil is this?	这支铅笔是谁的？
How do you spell your name?	你怎麼拼你的名字的？
I'd like a nonstop flight to New York.	我想要一个直飞纽约的航班。
I have to go to sleep.	我该去睡觉了。
Elephants are the largest land animals alive today.	大象是如今现存的陆生动物里最大的。
I just wasn't paying attention.	我只是没注意。
We were astonished to hear what had happened.	我们听到所发生的事，感到很惊讶。
He's always running short of cash.	他總是缺錢。
Tom isn't accustomed to walking barefooted.	汤姆不习惯赤脚漫步。
Do you have anything to say?	你有任何話要說嗎？
I'll tell you the truth.	我會告訴你真相。
I can't play tennis that well.	我不那麼會打網球。
I wonder where Tom is planning to go to college.	我想知道汤姆计划去哪里上大学。
I can't understand his feelings.	我不明白他的感受。
Lend me some money, if you have any.	你有钱的话，借我一些。
I wonder what I should do today.	我在想我今天该干什么。
She married a rich old man.	她嫁给了个有钱老头。
One hundred years is called a century.	一百年被叫做一个世纪。
Tom couldn't conceal his disappointment.	汤姆不能掩饰他的失望。
Look what happened.	看看發生了什麼。
Tom had to sell his house.	湯姆必須賣了他的房子。
You must be joking!	你一定是开玩笑！
Tom admitted that he had killed Mary.	汤姆承认他杀死了玛丽。
You shouldn't wait here.	你不應該在這裡等。
I want to die.	我想死
I'm a professional photographer.	我是專業攝影師。
I'm suffering from a bad headache.	我頭痛得厲害。
Mary is pregnant with twins.	玛丽怀了双胞胎。
Whose glass is this?	这是谁的杯子？
You'll get lost.	你会迷路的。
I'm not fond of her face.	我不喜歡她的臉。
Tom's house has a nice garden.	湯姆的住宅有一個不錯的花園。
I asked him for a favor.	我請他幫忙。
When he shouted, the veins in his neck stood out clearly.	当他咆哮时，他脖子上青筋暴起。
Tom turned red.	汤姆脸红了。
She is going to Chiba Stadium.	她將去千葉球場。
I think we should try it.	我認為我們該試試。
This makes me sad.	這讓我難過。
I don't have a prejudice against foreign workers.	我对外籍员工没有偏见。
He traveled around the country.	他周遊全國各地。
London is famous for its fog.	倫敦以霧著名。
Do you know what PKO stands for?	你知道PKO是什么意思吗？
Does anyone care?	有人在意吗？
Tom asked Mary to help.	湯姆向瑪麗求助。
When can we eat?	我們什麼時候可以吃？
What was that meeting about?	那场会议主题是什么？
Do you have any free time this weekend?	這個週末你有時間嗎？
Will you take part in the ceremony?	你會參加這個儀式嗎?
She came home very late.	她很晚回家。
I want to stay in a hotel near the airport.	我想住在機場附近的旅館裡。
It will clear up in the afternoon.	今天下午天氣將轉晴。
What happened to your computer?	你的電腦怎麼了？
I prefer cats to dogs.	與狗相比，我更喜歡貓。
He's the boy we spoke about the other day.	他是前幾天我們談到的那個男孩。
Fancy meeting you here!	想不到會在這裡遇見你！
You should pay more attention to his warnings.	你應該多注意他的警告。
Don't forget your money.	不要忘记您的钱。
Tom and I are good friends.	湯姆和我是好朋友。
Who cares when she gets married?	誰管她什麼時候結婚？
She is leaving for America tonight.	她今晚離開去美國。
His parents expect too much of him.	他父母对他期望过高。
I trust his executive ability.	我相信他的执行能力。
He is a teacher.	他是教师。
He looks like a good boy.	他看起來是個好男孩。
Her English is excellent.	她的英语好极了。
What time does boarding begin?	什麼時候開始登機？
Let's stay here tonight.	讓我們今晚留在這裡吧。
All of a sudden, it began raining.	突然開始下雨。
Do you know how the accident happened?	你知道這個意外是如何發生的嗎？
We went to the beach last week.	我们上周去了海滩。
We're having an office party tomorrow.	我們明天有個辦公室派對。
I had a good dream last night.	昨晚，我做了个好梦。
Compared to Tokyo, London is small.	和东京比，伦敦很小。
I ate a hasty lunch.	我匆忙的吃了午餐。
I wish she had come last night.	要是她昨晚來就好了。
Tom wanted to see Mary's room.	湯姆想看看瑪麗的房間。
I met with an old woman.	我遇见了一位老妇人。
Our teacher likes his new car.	我們的老師喜歡他的新車。
There's nothing else we can do.	没有我们能还做的事。
He is absorbed in the study of linguistics.	他沉迷于语言学的研究。
I have to buy Christmas gifts.	我必须要买圣诞礼物了。
What've you been doing recently?	最近在干些什么？
I provided him with food.	我提供了他食物。
Let me tell you the reasons that I don't agree with you.	让我来告诉你我不赞成你的理由。
He is a learned man.	他是个有教养的人。
Please keep an eye on my suitcase.	請留神看著我的手提箱。
I want you to not go to Boston with Tom.	我要你別和湯姆去波士頓。
Traffic was blocked by a landslide.	交通被山崩所阻斷。
Which judge heard the case?	哪一位法官審理此案？
Here is your change.	這是你零錢。
That bridge is very beautiful.	那座橋很漂亮。
I wonder if what I wrote was correct.	我在想我寫的對不對。
It wasn't very hot last night.	昨晚不是很熱。
Oh please!	噢拜托了！
The boy remained silent.	男孩依旧沉默不语。
I can't work for this company anymore.	我没法再在这家公司里面工作了。
It's impossible to predict earthquakes.	預測地震是不可能的。
I was just going to write a letter.	我正要去写一封信。
This flower is beautiful, isn't it?	這朵花很美，不是嗎？
Mary came on her own.	Mary自己一個人來。
Everything is going horribly wrong for Tom.	對湯姆來說一切都開始錯得離譜。
He kept his promise.	他信守了他的承诺。
I'm reformed.	我改过自新了。
I'll call you up tomorrow morning.	明天早上我會打電話給你。
She takes piano lessons once a week.	她每周上一次钢琴课。
I don't think he'll say yes.	我不認為他會說好。
Yesterday's board meeting was a big success.	昨天的董事會會議非常成功。
Who were they talking about?	他们在讨论谁？
We have your size, but not in that color.	我们有你的尺寸，但是没有那个颜色。
Is Tom living in Boston?	汤姆住在波士顿吗？
Everyone in the room was stunned by what happened.	屋裡的每個人都被發生的事驚住了。
The plane takes off in ten minutes.	飞机十分钟后起飞。
It's dangerous!	它是危險的!
Would you care for some tea?	你要喝點茶嗎？
She always dresses in black.	她總是穿著黑色的衣服。
Learning foreign languages is boring.	學外文很無聊。
I need more money.	我需要更多的錢。
How many years did Tom work here?	汤姆在这里工作了几年？
This factory manufactures CD players.	这家工厂生产CD机。
A boy is walking across the street.	一个男孩正沿着街走。
Good job!	做得好！
English has many loan words from French.	英语有很多法语外来词。
It's our job to help you.	帮助你是我们的工作。
I'm a vegetarian.	我是素食主义者。
It is likely to be fine tomorrow.	明天天氣可能很好。
He's stronger than you.	他比你強壯。
If I were healthy, I would be happy.	如果我很健康，我會很快樂。
Nothing is as important as peace.	没有什么和和平一样重要。
She continued with the work.	她继续工作。
She recognized the brooch as the one she had lost a few months before.	她认出那枚胸针是她几个月前丢失的。
The food tasted slightly of garlic.	這個食物嚐起來有一點大蒜味。
I hope that you give this book a read.	我希望你讀讀這本書。
We swam until it got dark.	我們游泳到天黑。
Tom needs to get into shape.	Tom需要让身体好起来。
She filled the glass with wine.	她在玻璃杯裡裝滿了酒。
He neglected his duties.	他怠忽職守了。
He cut down a tree in his garden.	他砍了花园里的一棵树。
You want to remain anonymous.	你想保持匿名身份。
Would you mind if I used your car?	如果用了你的車，你會介意嗎?
They have no idea what's going on.	他們不知道正在發生甚麼。
This is worth one million yen.	這值100萬日元。
I don't know what I'm going to do next.	我不知道下一步做什么。
Tom hasn't talked to Mary about that yet.	汤姆还没跟玛丽谈那事。
I like to eat.	我喜歡吃。
We still have a chance.	我們還有次機會。
He could not swim.	他不能游泳。
I can win this time.	我這回能贏。
I'm closing the door.	我在關門。
There's no need to speak so loud.	沒有必要說話這麼大聲。
Tom was bullied.	汤姆被欺负了。
I agree with him.	我同意他。
I need to know.	我需要知道。
You need to get ready.	你需要做好准备。
This plane flies between Osaka and Hakodate.	這架飛機往返於大阪和函館之間。
Don't ask me for money.	不要問我要錢。
That's great.	那真是太好了。
The sky grew darker and darker.	天空变得越来越暗了。
I am six feet tall.	我六英尺高。
I'm back.	我回来了！
They had a baby last week.	上週他們生了一個孩子。
You'll never achieve anything if you don't study harder.	如果你不更加努力地學習, 你將永遠不會有所成就。
Are you sure you don't want me to say anything?	你确定要我什么都不说？
This isn't a tiger.	这不是老虎。
Keep children away from the pond.	让孩子远离池塘。
His mother looks young for her age.	他媽媽看起來比實際年齡年輕。
I have something to tell you.	我有事要告訴你。
I wrote that.	我寫了那些東西。
Tom was the first to react.	湯姆是最先作出反應的。
How high can you jump?	你能跳多高？
I can't help admiring his talent.	我不禁欣賞他的才華。
You can't come in with this.	你不能跟我们进来。
You have something stuck in your teeth.	牙齿卡了点东西。
I've got to shave before leaving.	離開前我必須刮鬍子。
The Japanese have dark eyes.	日本人有黑色的眼睛。
Feel free to get yourself a drink if you are thirsty.	觉得渴了就喝点。
I'll have to find a part-time job.	我得找一份兼職工作。
The dog was hit by a car.	狗被車撞了。
This gives me renewed hopes.	这给了我新的希望。
Don't go above the speed limit.	不要超速。
You can come in.	你可以進來。
He lay on his back.	他仰躺。
Tom says he can communicate with the dead.	Tom说他可以通灵。
Tom was advised by Mary not to go there by himself.	玛丽建议汤姆不要独自去。
I should stop procrastinating.	我做事该果断。
I have an umbrella in my car.	我的车里有伞。
